row_1,row_2,row_3
"(8, 3)",0,2
"(0, 0)",1,1
"(8, 4)",2,2
"(13, 8)",3,1
"(13, 7)",4,1
"(4, 9)",5,1
"(2, 8)",6,1
"(9, 4)",7,1
"(11, 2)",8,1
"(7, 3)",9,1
"(10, 3)",10,1
"(9, 3)",11,1
"(11, 8)",12,1
