X,Y,OBJECTID,DESCRIPTION,IDENTIFIER,LATITUDE,LONGITUDE
-86.1472211256892,39.8251665674394,10734,38th St & Park Ave,10096,39.825159,-86.147216
-86.1500941264143,39.8251265672642,10735,38th St & Central Ave,10098,39.825119,-86.150089
-86.1531411269381,39.8250755673076,10736,38th St & Delaware St,10100,39.825068,-86.153136
-86.1573541250325,39.7905355606987,10737,Meridian St & 18th St,10119,39.790528,-86.157349
-86.1573911250542,39.7877855602627,10738,Meridian St & 16th St,10120,39.787778,-86.157386
-86.1575561249506,39.783941559431,10739,Meridian St & 13th St,10122,39.783934,-86.157551
-86.157637124406,39.7812945585981,10740,Meridian St & 10th St,10124,39.781287,-86.157632
-86.157746124809,39.7781505580084,10741,Meridian St & Saint Clair St,10125,39.778143,-86.157741
-86.1579431238566,39.7739115571926,10742,Meridian St & Michigan St,10128,39.773904,-86.157938
-86.1579291239962,39.7723615572056,10743,Meridian St & Vermont St,10129,39.772354,-86.157924
-86.1568371228034,39.7655305560357,10744,Maryland St & Pennsylvania St,10133,39.765523,-86.156832
-86.1576871234073,39.769942556825,10745,Ohio St & Meridian St,10136,39.769935,-86.157682
-86.1577951244272,39.7730115574136,10746,Meridian St & Vermont St,10137,39.773004,-86.15779
-86.1576831244414,39.7758645578324,10747,Meridian St & North St,10139,39.775857,-86.157678
-86.1576231245269,39.7778295577574,10748,Meridian St & Saint Clair St,10141,39.777822,-86.157618
-86.1574521249727,39.7821625589341,10749,Meridian St & 11th St,10143,39.782155,-86.157447
-86.1573581252566,39.7842165594576,10750,Meridian St & 13th St,10144,39.784209,-86.157353
-86.1572101253039,39.7878825601361,10751,Meridian St & 16th St,10146,39.787875,-86.157205
-86.1572371254179,39.790673560757,10752,Meridian St & 18th St,10147,39.790666,-86.157232
-86.1284451194689,39.8253685682709,10753,38th St & Orchard Ave,10167,39.825361,-86.12844
-86.1259711193425,39.8253735681818,10754,38th St & Caroline Ave,10169,39.825366,-86.125966
-86.1210781171705,39.8252575685926,10755,38th St & Keystone Ave,10172,39.82525,-86.121073
-86.1169481167051,39.8252905689128,10756,38th St & Rural St,10174,39.825283,-86.116943
-86.1153241154965,39.8252935691872,10757,38th St & Oxford St,10175,39.825286,-86.115319
-86.1136081150341,39.8253035688405,10758,38th St & Parker Ave,10176,39.825296,-86.113603
-86.1100941147463,39.8252975697413,10759,38th St & Lasalle St,10178,39.82529,-86.110089
-86.1058891130809,39.8252995699497,10760,38th St & Gale St,10181,39.825292,-86.105884
-86.1024071124023,39.8253015697144,10761,38th St & Sherman Dr,10183,39.825294,-86.102402
-86.1003711118432,39.8253285699914,10762,38th St & Chester Ave,10184,39.825321,-86.100366
-86.0981421105483,39.8253675702996,10763,38th St & Forest Manor Ave,10187,39.82536,-86.098137
-86.0961271103427,39.8253835703025,10764,38th St & Gladstone Ave,10188,39.825376,-86.096122
-86.0939271094169,39.8254045696827,10765,38th St & Linwood Ave,10189,39.825397,-86.093922
-86.0909831083026,39.8254405700713,10766,38th St & Arthington Blvd,10191,39.825433,-86.090978
-86.0879891074173,39.8254625709996,10767,38th St & Dequincy St,10193,39.825455,-86.087984
-86.0852791078685,39.8254835703097,10768,38th St & Bancroft St,10195,39.825476,-86.085274
-86.0829861070238,39.8254585706728,10769,38th St & Emerson Ave,10196,39.825451,-86.082981
-86.0804331055012,39.8254345712178,10770,38th St & Butler Ave,10198,39.825427,-86.080428
-86.075289104758,39.8254085707584,10771,38th St & Whittier Pl,10201,39.825401,-86.075284
-86.0732061044342,39.8253945710463,10772,38th St & Layman Ave,10202,39.825387,-86.073201
-86.0696631025995,39.8254145718469,10773,38th St & Graham Ave,10205,39.825407,-86.069658
-86.0667041015103,39.8254115720357,10774,38th St & Bolton Ave,10206,39.825404,-86.066699
-86.0642521013689,39.8254605712172,10775,38th St & Arlington Ave,10207,39.825453,-86.064247
-86.0601140998195,39.8254695714897,10776,38th St & Sheridan Ave,10208,39.825462,-86.060109
-86.0520160973342,39.8256665720525,10777,38th St & Elizabeth St,10209,39.825659,-86.052011
-86.0489570973631,39.8256775724733,10778,38th St & Massachusetts Ave,10210,39.82567,-86.048952
-86.0454220957428,39.8256945720979,10779,38th St & Shadeland Ave,10211,39.825687,-86.045417
-86.0419800942212,39.8257195728069,10780,38th St & Whenner Dr,10212,39.825712,-86.041975
-86.0403910939009,39.8256855731679,10781,38th St & Kercheval Dr,10213,39.825678,-86.040386
-86.0365920926581,39.8256785735368,10782,38th St & Richardt St,10215,39.825671,-86.036587
-86.0268470904972,39.8263385736594,10783,Franklin Rd & 38th St,10217,39.826331,-86.026842
-86.0269090905994,39.8287425738543,10784,Franklin Rd - Sports Center,10218,39.828735,-86.026904
-86.0266460902119,39.8329515749971,10785,42nd St & Franklin Rd,10219,39.832944,-86.026641
-86.0229450897774,39.8332595756511,10786,42nd St & Arborcrest Dr,10220,39.833252,-86.02294
-86.0196160883034,39.8332975753707,10787,42nd St & Aspen Way,10222,39.83329,-86.019611
